RING OBS ID,Planet,Intended Target Name,Observed Phase Angle (Min) [Ring] (degrees),Observed Phase Angle (Max) [Ring] (degrees),Observation Start Time (UTC),Observation Stop Time (UTC)
S_CO_UVIS_2005-120T19-13_FUV,Saturn,Saturn Rings,29.232,30.884,2005-04-30T19:13:32.803,2005-04-30T20:47:24.803
S_CO_UVIS_2005-120T20-55_FUV,Saturn,Saturn Rings,28.263,29.745,2005-04-30T20:55:32.639,2005-04-30T21:29:40.639
S_CO_UVIS_2005-120T21-39_FUV,Saturn,Saturn Rings,27.545,30.214,2005-04-30T21:39:32.622,2005-04-30T23:21:56.622
S_CO_UVIS_2005-230T15-15_FUV,Saturn,Saturn Rings,24.463,27.311,2005-08-18T15:15:04.141,2005-08-18T19:25:04.141
S_CO_UVIS_2005-230T19-25_FUV,Saturn,Saturn Rings,24.116,24.553,2005-08-18T19:25:03.920,2005-08-18T19:55:03.920
S_CO_UVIS_2006-365T03-27_FUV,Saturn,Saturn Rings,29.661,33.242,2006-12-31T03:27:19.396,2006-12-31T03:37:19.396
S_CO_UVIS_2006-365T03-41_FUV,Saturn,Saturn Rings,28.994,32.597,2006-12-31T03:41:12.391,2006-12-31T03:51:12.391
S_CO_UVIS_2006-365T03-54_FUV,Saturn,Saturn Rings,26.934,30.542,2006-12-31T03:54:23.386,2006-12-31T04:04:23.386
S_CO_UVIS_2006-365T04-08_FUV,Saturn,Saturn Rings,26.502,30.106,2006-12-31T04:08:16.380,2006-12-31T04:18:16.380
S_CO_UVIS_2008-103T10-00_FUV,Saturn,Saturn Rings,15.358,28.061,2008-04-12T10:00:02.108,2008-04-12T21:15:02.108
S_CO_UVIS_2008-190T03-18_FUV,Saturn,Saturn Rings,29.692,32.965,2008-07-08T03:18:22.172,2008-07-08T03:31:22.172
S_CO_UVIS_2008-190T03-36_FUV,Saturn,Saturn Rings,29.054,33.985,2008-07-08T03:36:13.164,2008-07-08T03:59:13.164
S_CO_UVIS_2008-190T03-59_FUV,Saturn,Saturn Rings,28.474,31.974,2008-07-08T03:59:32.154,2008-07-08T04:25:32.154
S_CO_UVIS_2008-190T04-30_FUV,Saturn,Saturn Rings,28.2,32.703,2008-07-08T04:30:23.016,2008-07-08T04:38:23.016
S_CO_UVIS_2008-190T04-38_FUV,Saturn,Saturn Rings,27.921,31.082,2008-07-08T04:38:42.013,2008-07-08T04:51:42.013
S_CO_UVIS_2008-190T04-56_FUV,Saturn,Saturn Rings,27.353,32.116,2008-07-08T04:56:33.005,2008-07-08T05:19:33.005
S_CO_UVIS_2008-190T05-19_FUV,Saturn,Saturn Rings,26.838,30.196,2008-07-08T05:19:51.995,2008-07-08T05:45:51.995
S_CO_UVIS_2008-190T05-50_FUV,Saturn,Saturn Rings,26.594,30.964,2008-07-08T05:50:42.982,2008-07-08T05:58:42.982
S_CO_UVIS_2008-190T05-59_FUV,Saturn,Saturn Rings,26.553,29.395,2008-07-08T05:59:01.979,2008-07-08T06:01:01.979
S_CO_UVIS_2008-190T06-02_FUV,Saturn,Saturn Rings,26.344,29.335,2008-07-08T06:02:01.978,2008-07-08T06:12:01.978
S_CO_UVIS_2008-190T06-16_FUV,Saturn,Saturn Rings,25.837,30.437,2008-07-08T06:16:52.971,2008-07-08T06:39:52.971
S_CO_UVIS_2008-190T06-40_FUV,Saturn,Saturn Rings,25.375,28.594,2008-07-08T06:40:11.961,2008-07-08T07:06:11.961
S_CO_UVIS_2008-190T07-11_FUV,Saturn,Saturn Rings,25.154,29.392,2008-07-08T07:11:02.948,2008-07-08T07:19:02.948
S_CO_UVIS_2008-190T07-19_FUV,Saturn,Saturn Rings,24.93,27.869,2008-07-08T07:19:22.070,2008-07-08T07:32:22.070
S_CO_UVIS_2008-190T07-37_FUV,Saturn,Saturn Rings,24.476,28.909,2008-07-08T07:37:12.937,2008-07-08T08:00:12.937
S_CO_UVIS_2008-190T08-00_FUV,Saturn,Saturn Rings,24.058,27.143,2008-07-08T08:00:32.052,2008-07-08T08:26:32.052
S_CO_UVIS_2008-190T08-31_FUV,Saturn,Saturn Rings,23.862,27.959,2008-07-08T08:31:22.914,2008-07-08T08:39:22.914
S_CO_UVIS_2008-190T08-39_FUV,Saturn,Saturn Rings,23.66,26.485,2008-07-08T08:39:42.036,2008-07-08T08:52:42.036
S_CO_UVIS_2008-190T08-57_FUV,Saturn,Saturn Rings,23.251,27.519,2008-07-08T08:57:33.028,2008-07-08T09:20:33.028
S_CO_UVIS_2008-190T09-20_FUV,Saturn,Saturn Rings,22.876,25.824,2008-07-08T09:20:52.018,2008-07-08T09:46:52.018
S_CO_UVIS_2008-190T09-51_FUV,Saturn,Saturn Rings,22.697,26.649,2008-07-08T09:51:43.005,2008-07-08T09:59:43.005
S_CO_UVIS_2008-190T10-00_FUV,Saturn,Saturn Rings,22.625,25.226,2008-07-08T10:00:01.877,2008-07-08T10:05:01.877
